kr,k,a_ltb,p,q,tw,tr
12.0,1.0,0.0,-1.971,-1.971,0.0003211498260498047,1676478610.2206419
13.0,2.0,0.0,-1.971,-1.971,0.0001201629638671875,1676478610.225805
14.0,3.0,0.0,-1.971,-1.971,0.00017380714416503906,1676478610.229832
15.0,4.0,0.0,-1.971,-1.971,0.0004858970642089844,1676478610.233803
16.0,5.0,0.0,-1.971,-1.971,0.00012683868408203125,1676478610.2392402
17.0,6.0,0.0,-1.971,-1.971,0.0001480579376220703,1676478610.244375
18.0,7.0,0.0,-1.971,-1.971,0.00014519691467285156,1676478610.249592
19.0,8.0,0.0,-1.971,-1.971,0.00012493133544921875,1676478610.2551339
20.0,9.0,0.0,-1.971,-1.971,0.00014591217041015625,1676478610.260037
21.0,10.0,0.0,-1.971,-1.971,0.0001220703125,1676478610.265558
22.0,11.0,0.0,-1.971,-1.971,0.0001442432403564453,1676478610.268889
23.0,12.0,0.0,-1.971,-1.971,0.00023484230041503906,1676478610.2721791
24.0,13.0,0.0,-1.971,-1.971,0.00019502639770507812,1676478610.2776968
25.0,14.0,0.0,-1.971,-1.971,0.00015807151794433594,1676478610.280546
26.0,15.0,0.0,-1.971,-1.971,0.00012803077697753906,1676478610.283501
27.0,16.0,0.0,-1.971,-1.971,0.00030612945556640625,1676478610.286388
28.0,17.0,0.0,-1.971,-1.971,0.00013399124145507812,1676478610.291975
29.0,18.0,0.0,-1.971,-1.971,0.00019407272338867188,1676478610.2972658
30.0,19.0,0.0,-1.971,-1.971,0.00015807151794433594,1676478610.300016
31.0,20.0,0.0,-1.971,-1.971,0.00013494491577148438,1676478610.300906
32.0,21.0,0.0,-1.971,-1.971,0.00012969970703125,1676478610.3033702
33.0,22.0,0.0,-1.971,-1.971,0.0006868839263916016,1676478610.3080451
34.0,23.0,0.0,-1.971,-1.971,0.00014519691467285156,1676478610.3131847
35.0,24.0,0.0,-1.971,-1.971,0.00012803077697753906,1676478610.314883
36.0,25.0,0.0,-1.971,-1.971,0.00014591217041015625,1676478610.317043
37.0,26.0,0.0,-1.971,-1.971,0.00014400482177734375,1676478610.322145
38.0,27.0,0.0,-1.971,-1.971,0.0001380443572998047,1676478610.327458
39.0,28.0,0.0,-1.971,-1.971,0.00015878677368164062,1676478610.331747
40.0,29.0,0.0,-1.971,-1.971,0.0002791881561279297,1676478610.337288
41.0,30.0,0.0,-1.971,-1.971,0.00012373924255371094,1676478610.342389
42.0,31.0,0.0,-1.971,-1.971,0.00012803077697753906,1676478610.3464632
43.0,32.0,0.0,-1.971,-1.971,0.00012803077697753906,1676478610.3516471
44.0,33.0,0.0,-1.971,-1.971,0.00015878677368164062,1676478610.352901
45.0,34.0,0.0,-1.971,-1.971,0.0001239776611328125,1676478610.355469
46.0,35.0,0.0,-1.971,-1.971,0.0001990795135498047,1676478610.360962
47.0,36.0,0.0,-1.971,-1.971,0.00017714500427246094,1676478610.366206
48.0,37.0,0.0,-1.971,-1.971,0.0002307891845703125,1676478610.3711731
49.0,38.0,0.0,-1.971,-1.971,0.00012111663818359375,1676478610.3724537
50.0,39.0,0.0,-1.971,-1.971,0.00011897087097167969,1676478610.377986
